Prey, 0, Predator,1565, Grass,0
Prey, 0, Predator,1512, Grass,0
Prey, 0, Predator,1472, Grass,0
Prey, 0, Predator,1401, Grass,0
Prey, 0, Predator,1370, Grass,0
Prey, 0, Predator,1334, Grass,0
Prey, 0, Predator,1292, Grass,0
Prey, 0, Predator,1256, Grass,0
Prey, 0, Predator,1215, Grass,0
Prey, 0, Predator,1180, Grass,0
Prey, 0, Predator,1131, Grass,0
Prey, 0, Predator,1114, Grass,0
Prey, 0, Predator,1071, Grass,0
Prey, 0, Predator,1041, Grass,0
Prey, 0, Predator,1002, Grass,0
Prey, 0, Predator,985, Grass,0
Prey, 0, Predator,932, Grass,0
Prey, 0, Predator,899, Grass,0
Prey, 0, Predator,857, Grass,0
Prey, 0, Predator,834, Grass,0
Prey, 0, Predator,827, Grass,0
Prey, 0, Predator,799, Grass,0
Prey, 0, Predator,769, Grass,0
Prey, 0, Predator,752, Grass,0
Prey, 0, Predator,737, Grass,0
Prey, 0, Predator,724, Grass,0
Prey, 0, Predator,695, Grass,0
Prey, 0, Predator,686, Grass,0
Prey, 0, Predator,672, Grass,0
Prey, 0, Predator,654, Grass,0
Prey, 0, Predator,647, Grass,0
Prey, 0, Predator,623, Grass,0
Prey, 0, Predator,601, Grass,0
Prey, 0, Predator,589, Grass,0
Prey, 0, Predator,576, Grass,0
Prey, 0, Predator,563, Grass,0
Prey, 0, Predator,555, Grass,0
Prey, 0, Predator,543, Grass,0
Prey, 0, Predator,521, Grass,0
Prey, 0, Predator,502, Grass,0
Prey, 0, Predator,489, Grass,0
Prey, 0, Predator,477, Grass,0
Prey, 0, Predator,465, Grass,0
Prey, 0, Predator,442, Grass,0
Prey, 0, Predator,430, Grass,0
Prey, 0, Predator,426, Grass,0
Prey, 0, Predator,418, Grass,0
Prey, 0, Predator,400, Grass,0
Prey, 0, Predator,383, Grass,0
Prey, 0, Predator,374, Grass,0
Prey, 0, Predator,374, Grass,0
Prey, 0, Predator,375, Grass,0
Prey, 0, Predator,378, Grass,0
Prey, 0, Predator,362, Grass,0
Prey, 0, Predator,361, Grass,0
Prey, 0, Predator,359, Grass,0
Prey, 0, Predator,356, Grass,0
Prey, 0, Predator,356, Grass,0
Prey, 0, Predator,344, Grass,0
Prey, 0, Predator,340, Grass,0
Prey, 0, Predator,330, Grass,0
Prey, 0, Predator,326, Grass,0
Prey, 0, Predator,324, Grass,0
Prey, 0, Predator,325, Grass,0
Prey, 0, Predator,310, Grass,0
Prey, 0, Predator,303, Grass,0
Prey, 0, Predator,300, Grass,0
Prey, 0, Predator,285, Grass,0
Prey, 0, Predator,281, Grass,0
Prey, 0, Predator,279, Grass,0
Prey, 0, Predator,275, Grass,0
Prey, 0, Predator,261, Grass,0
Prey, 0, Predator,260, Grass,0
Prey, 0, Predator,246, Grass,0
Prey, 0, Predator,243, Grass,0
Prey, 0, Predator,234, Grass,0
Prey, 0, Predator,235, Grass,0
Prey, 0, Predator,230, Grass,0
Prey, 0, Predator,233, Grass,0
Prey, 0, Predator,229, Grass,0
Prey, 0, Predator,228, Grass,0
Prey, 0, Predator,225, Grass,0
Prey, 0, Predator,222, Grass,0
Prey, 0, Predator,216, Grass,0
Prey, 0, Predator,216, Grass,0
Prey, 0, Predator,219, Grass,0
Prey, 0, Predator,215, Grass,0
Prey, 0, Predator,204, Grass,0
Prey, 0, Predator,198, Grass,0
Prey, 0, Predator,199, Grass,0
Prey, 0, Predator,192, Grass,0
Prey, 0, Predator,198, Grass,0
Prey, 0, Predator,195, Grass,0
Prey, 0, Predator,190, Grass,0
Prey, 0, Predator,188, Grass,0
Prey, 0, Predator,185, Grass,0
Prey, 0, Predator,182, Grass,0
Prey, 0, Predator,184, Grass,0
Prey, 0, Predator,180, Grass,0
Prey, 0, Predator,174, Grass,0
Prey, 0, Predator,177, Grass,0
Prey, 0, Predator,181, Grass,0
Prey, 0, Predator,173, Grass,0
Prey, 0, Predator,164, Grass,0
Prey, 0, Predator,163, Grass,0
Prey, 0, Predator,166, Grass,0
Prey, 0, Predator,166, Grass,0
Prey, 0, Predator,161, Grass,0
Prey, 0, Predator,164, Grass,0
Prey, 0, Predator,159, Grass,0
Prey, 0, Predator,161, Grass,0
Prey, 0, Predator,164, Grass,0
Prey, 0, Predator,157, Grass,0
Prey, 0, Predator,150, Grass,0
Prey, 0, Predator,155, Grass,0
Prey, 0, Predator,152, Grass,0
Prey, 0, Predator,152, Grass,0
Prey, 0, Predator,137, Grass,0
Prey, 0, Predator,133, Grass,0
Prey, 0, Predator,126, Grass,0
Prey, 0, Predator,129, Grass,0
Prey, 0, Predator,122, Grass,0
Prey, 0, Predator,124, Grass,0
Prey, 0, Predator,121, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,119, Grass,0
Prey, 0, Predator,115, Grass,0
Prey, 0, Predator,115, Grass,0
Prey, 0, Predator,119, Grass,0
Prey, 0, Predator,117, Grass,0
Prey, 0, Predator,119, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,118, Grass,0
Prey, 0, Predator,117, Grass,0
Prey, 0, Predator,117, Grass,0
Prey, 0, Predator,115, Grass,0
Prey, 0, Predator,114, Grass,0
Prey, 0, Predator,109, Grass,0
Prey, 0, Predator,108, Grass,0
Prey, 0, Predator,105, Grass,0
Prey, 0, Predator,107, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,118, Grass,0
Prey, 0, Predator,115, Grass,0
Prey, 0, Predator,111, Grass,0
Prey, 0, Predator,114, Grass,0
Prey, 0, Predator,112, Grass,0
Prey, 0, Predator,114, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,114, Grass,0
Prey, 0, Predator,114, Grass,0
Prey, 0, Predator,112, Grass,0
Prey, 0, Predator,107, Grass,0
Prey, 0, Predator,97, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,94, Grass,0
Prey, 0, Predator,99, Grass,0
Prey, 0, Predator,95, Grass,0
Prey, 0, Predator,97, Grass,0
Prey, 0, Predator,96, Grass,0
Prey, 0, Predator,96, Grass,0
Prey, 0, Predator,95, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,94, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,94, Grass,0
Prey, 0, Predator,97, Grass,0
Prey, 0, Predator,97, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,95, Grass,0
Prey, 0, Predator,97, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,97, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,96, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,94, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,96, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,95, Grass,0
Prey, 0, Predator,100, Grass,0
Prey, 0, Predator,102, Grass,0
Prey, 0, Predator,103, Grass,0
Prey, 0, Predator,106, Grass,0
Prey, 0, Predator,108, Grass,0
Prey, 0, Predator,108, Grass,0
Prey, 0, Predator,110, Grass,0
Prey, 0, Predator,114, Grass,0
Prey, 0, Predator,116, Grass,0
Prey, 0, Predator,117, Grass,0
Prey, 0, Predator,112, Grass,0
Prey, 0, Predator,110, Grass,0
Prey, 0, Predator,111, Grass,0
Prey, 0, Predator,113, Grass,0
Prey, 0, Predator,113, Grass,0
Prey, 0, Predator,114, Grass,0
Prey, 0, Predator,113, Grass,0
Prey, 0, Predator,115, Grass,0
Prey, 0, Predator,113, Grass,0
Prey, 0, Predator,108, Grass,0
Prey, 0, Predator,112, Grass,0
Prey, 0, Predator,98, Grass,0
Prey, 0, Predator,100, Grass,0
Prey, 0, Predator,100, Grass,0
Prey, 0, Predator,99, Grass,0
Prey, 0, Predator,97, Grass,0
Prey, 0, Predator,94, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,96, Grass,0
Prey, 0, Predator,95, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,85, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,82, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,81, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,72, Grass,0
Prey, 0, Predator,69, Grass,0
Prey, 0, Predator,68, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,66, Grass,0
Prey, 0, Predator,66, Grass,0
Prey, 0, Predator,65, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,65, Grass,0
Prey, 0, Predator,68, Grass,0
Prey, 0, Predator,59, Grass,0
Prey, 0, Predator,61, Grass,0
Prey, 0, Predator,57, Grass,0
Prey, 0, Predator,53, Grass,0
Prey, 0, Predator,55, Grass,0
Prey, 0, Predator,58, Grass,0
Prey, 0, Predator,60, Grass,0
Prey, 0, Predator,62, Grass,0
Prey, 0, Predator,64, Grass,0
Prey, 0, Predator,61, Grass,0
Prey, 0, Predator,61, Grass,0
Prey, 0, Predator,62, Grass,0
Prey, 0, Predator,66, Grass,0
Prey, 0, Predator,62, Grass,0
Prey, 0, Predator,63, Grass,0
Prey, 0, Predator,64, Grass,0
Prey, 0, Predator,64, Grass,0
Prey, 0, Predator,65, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,64, Grass,0
Prey, 0, Predator,65, Grass,0
Prey, 0, Predator,66, Grass,0
Prey, 0, Predator,66, Grass,0
Prey, 0, Predator,70, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,69, Grass,0
Prey, 0, Predator,71, Grass,0
Prey, 0, Predator,73, Grass,0
Prey, 0, Predator,73, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,81, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,81, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,81, Grass,0
Prey, 0, Predator,78, Grass,0
Prey, 0, Predator,80, Grass,0
Prey, 0, Predator,80, Grass,0
Prey, 0, Predator,80, Grass,0
Prey, 0, Predator,81, Grass,0
Prey, 0, Predator,78, Grass,0
Prey, 0, Predator,75, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,75, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,78, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,78, Grass,0
Prey, 0, Predator,72, Grass,0
Prey, 0, Predator,70, Grass,0
Prey, 0, Predator,70, Grass,0
Prey, 0, Predator,69, Grass,0
Prey, 0, Predator,68, Grass,0
Prey, 0, Predator,69, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,70, Grass,0
Prey, 0, Predator,70, Grass,0
Prey, 0, Predator,73, Grass,0
Prey, 0, Predator,72, Grass,0
Prey, 0, Predator,75, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,86, Grass,0
Prey, 0, Predator,85, Grass,0
Prey, 0, Predator,85, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,86, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,82, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,86, Grass,0
Prey, 0, Predator,86, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,88, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,85, Grass,0
Prey, 0, Predator,88, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,88, Grass,0
Prey, 0, Predator,86, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,88, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,85, Grass,0
Prey, 0, Predator,82, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,88, Grass,0
Prey, 0, Predator,94, Grass,0
Prey, 0, Predator,96, Grass,0
Prey, 0, Predator,96, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,92, Grass,0
Prey, 0, Predator,94, Grass,0
Prey, 0, Predator,96, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,93, Grass,0
